interval,t0,t1,n_selected_neurons,best_decay,matrix_shape
0,0.0,4.0,15,20.0,"(15, 15)"
1,0.0,8.0,15,20.0,"(15, 15)"
2,0.0,13.0,15,20.0,"(15, 15)"
