x,g_hat,sigma2_hat,a_hat_raw,a_hat,b_hat
-5.125803315017421,1895.9675207087046,435.16110920337405,16.7352818424962,0.0015625099999999998,5606.0982443051535
-5.010480605153326,1753.54152550612,464.4858155373736,15.747525169125886,4.258149982860284,4777.203703733144
-4.8951578952892305,1625.861619461463,488.65506071101083,14.820221158548849,7.593062135981435,4044.59213282009
-4.779835185425134,1512.068648953016,508.133788099312,13.948822064744142,10.098735651275575,3401.6007684744654
-4.664512475561039,1411.3034603590627,523.3869410773027,13.149171029237003,11.86760721065477,2841.5668476047567
-4.549189765696943,1322.706900057885,534.8794630200093,12.428297802819946,12.992113496031154,2357.8276071194387
-4.433867055832848,1245.4198144277652,543.0762973024576,11.733582636284144,13.56469118931683,1943.7202839269876
-4.3185443459687525,1178.5830498469868,548.4423872996739,11.085663984697677,13.677776972423908,1592.5821149358837
-4.203221636104656,1121.3374526938312,551.4426763866842,10.531231035565327,13.423807527264485,1297.7503370546017
-4.087898926240561,1072.823869346582,552.542107938514,10.053899647073713,12.895219535750677,1052.5621871916246
-3.9725762163764653,1032.1831461835216,552.2056253301903,9.63685658201106,12.18444967979459,850.3549022554287
-3.85725350651237,998.5561295829327,550.8981719367382,9.27938030937535,11.383934641308326,684.4657191544914
-3.741930796648274,971.0836659230979,549.0846911331843,8.987846957476567,10.586111102203988,548.2501334149426
-3.626608086784178,948.9066015822996,547.2301262945546,8.765696446147256,9.880315226170033,436.5459481783858
-3.5112853769200827,931.1657829388208,545.7651667616262,8.585583094108237,9.30183038388464,346.74381347207515
-3.3959626670559873,917.0471195667515,544.8051897582625,8.42322609884714,8.840027608269613,276.4867864536883
-3.280639957191892,906.0852783504813,544.2956405863556,8.280409604651554,8.48281911503041,223.4179242809033
-3.165317247327796,897.9776073583633,544.1803174717706,8.16012577830885,8.218117119872486,185.1802841113977
-3.0499945374637005,892.4223687881918,544.4030186403726,8.057844201630683,8.033833838501305,159.4169231028496
-2.9346718275996047,889.117824837761,544.9075423180273,7.975612164107756,7.917881486622321,143.77089841293676
-2.8193491177355092,887.7622377048642,545.6376867305992,7.915559606622789,7.8581722799409945,135.88526719933716
-2.7040264078714134,888.0538695872967,546.5372501039542,7.880012297483183,7.842618434162786,133.40308661972847
-2.588703698007318,889.6909826828523,547.5500306639573,7.867524077770859,7.859132164993154,133.96741383178863
-2.4733809881432225,892.3718391893251,548.6198266364734,7.870074747712867,7.895625688137557,135.22130599319559
-2.3580582782791266,895.7947013045095,549.6904362473679,7.878235775006141,7.940011219301449,134.89157935801714
-2.242735568415031,899.6578312261995,550.7056577225062,7.90138228681732,7.980205499229186,132.0186440890066
-2.1274128585509353,903.6594911521893,551.6092892877533,7.934695048015715,8.007405921860565,126.68587861716664
-2.01209014868684,907.4979432802729,552.3463603676685,7.966753007290967,8.021873534032622,119.00539074356138
-1.8967674388227445,910.8714498082447,552.8951965940571,7.993278806318936,8.025421470921753,109.08928826925514
-1.7814447289586486,913.4905643551782,553.2704457549471,8.013406117646904,8.019862867704354,97.04967899531212
-1.6661220190945532,915.2722980069459,553.4885934626561,8.023176097146,8.007010859556827,82.9986707227968
-1.5507993092304573,916.3049735334998,553.5661253295023,8.028723645668707,7.98867858165557,67.04837125277322
-1.4354765993663618,916.6820991481434,553.5195269678031,8.019762319017806,7.966679169176981,49.31088838630586
-1.3201538895022664,916.497183064181,553.3652839898762,7.997835850387088,7.9428257572974585,29.898329924458913
-1.2048311796381705,915.8437334949164,553.1198820080393,7.971819885410759,7.918931481193399,8.922803668296547
-1.0895084697740751,914.815258653653,552.7998066346104,7.950190894688058,7.896809476041204,-13.503582581116756
-0.9741857599099797,913.5052667536957,552.4215434819067,7.9412953440659475,7.878272877017267,-37.27325325468313
-0.8588630500458834,912.0072660083474,552.0015781622462,7.943630247413839,7.865134819297991,-62.30450746346084
-0.7435403401817879,910.4147646309128,551.5563962879467,7.9320578369646535,7.859016010766762,-88.52481218447313
-0.6282176303176925,908.8212708346953,551.102483471326,7.910974169900369,7.859461228803349,-115.86164513781232
-0.5128949204535971,907.3202928329995,550.656303727797,7.8877674922441985,7.864748642587628,-144.24248404357033
-0.39757221058950165,906.0053388391282,550.2297425290392,7.865340887517523,7.87313834961531,-173.59480662183924
-0.28224950072540533,904.9699170663864,549.8244700109485,7.850524170787568,7.8828904473821,-203.84609059271142
-0.1669267908613099,904.306314849583,549.440774107538,7.829336445513917,7.892265033383714,-234.92381367627831
-0.051604080997214474,904.0447109927882,549.0789427528217,7.788680885602048,7.899522205115854,-266.7554535926323
0.06371862886688096,904.1249295244942,548.739263880813,7.748673875395058,7.902922060074235,-299.26848806186536
0.17904133873097638,904.479674309818,548.4220254255256,7.723726325889351,7.900724695754564,-332.39039480406944
0.2943640485950727,905.041649213877,548.1275153209731,7.725597407698199,7.89119020965255,-366.0479300460539
0.40968675845916813,905.7435581017871,547.8560215011689,7.733557194047093,7.872578699263904,-399.9569602001617
0.5250094683232636,906.5181048386655,547.6078319001269,7.754646214543311,7.843150262084336,-433.3305777482798
0.640332178187359,907.2979932896293,547.3832344518605,7.816988598951566,7.801175044413532,-465.3085500771492
0.7556548880514544,908.015927319795,547.1825170903835,7.843337959775788,7.746139097832488,-495.0306445735106
0.8709775979155507,908.6046107942793,547.0059677497094,7.800773147216022,7.679889942856987,-521.6366286241046
0.9863003077796462,908.9967475781993,546.8538743638517,7.750156191775695,7.604546417710204,-544.2662696156721
1.1016230176437416,909.1250415366715,546.7270226938938,7.6796760275683065,7.522227360615314,-562.0593349349534
1.216945727507837,908.922196534813,546.6286319391415,7.539968905902023,7.435051609795496,-574.1555919686898
1.3322684373719325,908.3209164377404,546.5626636853335,7.417535507260702,7.345138003473929,-579.694808103622
1.4475911472360288,907.2539991858271,546.5330796996312,7.358985597053001,7.254605379873786,-577.8167507264903
1.5629138571001242,905.702032949735,546.5438417491965,7.2909302745756905,7.165572577218249,-567.661187224036
1.6782365669642196,903.7710082170054,546.5989116011913,7.175936193266285,7.080158433730493,-548.4180836129467
1.793559276828315,901.5872357305789,546.7022510227773,7.016480675172084,7.000481787633694,-520.6085520013074
1.9088819866924105,899.2770262333947,546.8578217811167,6.879278698347175,6.928661477151033,-486.19103245624143
2.024204696556507,896.966690468393,547.0695856433713,6.807132201169275,6.866816340505683,-447.1954392660276
2.1395274064206022,894.7825391785136,547.3415043767025,6.755492760068209,6.816835135812358,-405.6516867189456
2.2548501162846977,892.8508831066964,547.6775397482727,6.686023828563079,6.778972811548905,-363.5896891032743
2.370172826148793,891.2980329958814,548.0816535252434,6.617520061206477,6.752777319919955,-323.03936070729276
2.4854955360128885,890.2502995890084,548.5578074747766,6.5690505318092285,6.737793785563946,-286.03061581928
2.600818245876985,889.8339936290175,549.1081839876224,6.535702192712065,6.733567333119313,-254.59336872751496
2.7161409557410803,890.1754258588485,549.7142802037456,6.5449121723109815,6.739643087224495,-230.75753372027705
2.8314636656051757,891.4009070214406,550.3442479400227,6.664633464400893,6.755566172517929,-216.55302508584526
2.946786375469271,893.6367478597349,550.9660165912795,6.861494077186565,6.780881713638053,-214.00975711249868
3.0621090853333666,897.0092591166703,551.5475155523415,7.012757501736518,6.8151348352233025,-224.81284427916054
3.177431795197462,901.5926419123658,552.0566742180338,7.0433301933210775,6.857870661912113,-247.78918798874832
3.2927545050615574,907.2026839210414,552.4614219831824,7.024465711135007,6.9086343183429255,-280.3524341670522
3.4080772149256546,913.5752176332425,552.7296882426126,7.044170841327082,6.966970929154177,-319.9061845032685
3.52339992478975,920.4460518209798,552.8294023911498,7.125274530116368,7.032405497072775,-363.8540406865914
3.6387226346538455,927.5509952562641,552.7284938236196,7.217477946102397,7.103551576759184,-409.5996044062172
3.754045344517941,934.6258567111051,552.3948919348475,7.271083978701914,7.177758023471764,-454.5464773513412
3.8693680543820363,941.4064449575142,551.7965261196588,7.259278952358263,7.25228053547108,-496.09826121115924
3.9846907642461318,947.6285687675014,550.9013257728793,7.24558007656629,7.324374811017692,-531.6585576748663
4.100013474110227,953.0280369130769,549.6782706878917,7.335659684620238,7.391296548372159,-558.6309684316586
4.215336183974323,957.3406581662514,548.1371749019933,7.41009896770222,7.450301445795052,-574.4190951707315
4.330658893838418,960.3022412990354,546.340897579625,7.407012327141914,7.498645201546927,-576.4267212137171
4.4459816037025135,961.6485950834394,544.3558429803586,7.3998638270218935,7.533583513888349,-563.1161837233382
4.561304313566611,961.1155282914735,542.2484153637655,7.424614902670561,7.552372081079882,-536.5012788971219
4.676627023430706,958.4388496951485,540.0850189894176,7.4504794672443415,7.552266601382086,-499.3397693933222
4.791949733294802,953.3961841442483,537.9320581168863,7.425533983700615,7.530522773055524,-454.38941787019183
4.907272443158897,946.1759576366042,535.8559370057435,7.381181632458058,7.48439629436076,-404.4079869859838
5.022595153022992,937.1997626197125,533.9230599155605,7.346066647785647,7.412230103539879,-352.153239398951
5.137917862887088,926.8918677700469,532.1998311059093,7.311693971910293,7.317615205957643,-300.3829377673463
5.253240572751183,915.6765417640822,530.7526548363612,7.314098521872529,7.205724017666013,-251.85484474942285
5.368563282615279,903.9780532782918,529.647935366488,7.301302041071869,7.081729276862125,-209.32672300343359
5.483885992479374,892.2206709891494,528.9520769558615,7.205373025485786,6.950803721743123,-175.55633518763153
5.59920870234347,880.8286635731297,528.7314412914935,7.023036577579216,6.818120090506147,-153.3014439602695
5.714531412207567,870.2262997067058,529.0264154774738,6.775748070717162,6.688851121348336,-145.27901435551962
5.829854122071662,860.8378480663523,529.8073334710805,6.594074809923056,6.568169552466832,-152.0711246251929
5.945176831935758,853.0875773285433,531.0328377404126,6.473381482314862,6.461248122058775,-171.11919147840462
6.060499541799853,847.3997561697523,532.6615707535695,6.3683305116653175,6.373259568321306,-199.6132351536584
6.1758222516639485,844.1986532664534,534.6521749786509,6.279246312447485,6.309376629451563,-234.74327588945792
6.291144961528044,843.9085372951206,536.9632928837559,6.189626291834626,6.274772043646689,-273.69933392430704
6.406467671392139,846.9338791831653,539.5535669369839,6.1422656016541834,6.274402025561667,-313.6714294967092
6.521790381256235,853.2238016295613,542.3816396064342,6.202593388969542,6.308242748381877,-351.84958284516824
6.63711309112033,862.2720791048441,545.4061533602062,6.267706593654434,6.371290343823106,-385.42381420818805
6.752435800984426,873.552688330487,548.5857506663996,6.348107388291917,6.458324420058979,-411.5841438242722
6.867758510848523,886.5396060279636,551.8790739931133,6.477547227097114,6.564124585263121,-427.5205919319245
6.983081220712618,900.7068089187462,555.2447658084468,6.629920022951833,6.683470447609158,-430.4231787696483
7.098403930576714,915.528273724309,558.6414685804993,6.885488263566942,6.811141615270715,-417.7333706892008
7.213726640440809,930.4779771661244,562.0239997822271,7.127609393534425,6.941917696421419,-390.0339157637337
7.329049350304905,945.0298959656666,565.3242582538744,7.2264903429011405,7.070578299234894,-350.0428704195932
7.444372060169,958.6580068444077,568.4656449743773,7.251574962832437,7.19190303188477,-300.5190967634136
7.559694770033095,970.8362865238215,571.3715469946055,7.243163200570083,7.3006715025446685,-244.22145690182856
7.675017479897191,981.0387117253815,573.9653513654289,7.216326877997631,7.391663319388219,-183.90881294147206
7.790340189761286,988.7392591705604,576.1704451377175,7.306916757235466,7.4596582828757025,-122.34002698897825
7.905662899625382,993.411905580832,577.9102153623408,7.5170753465469575,7.500380128671713,-62.27396115098088
8.020985609489479,994.5347916243165,579.1080490901691,7.700868435067229,7.512685134386946,-6.469477534113139
8.136308319353574,991.948841820827,579.6873333720719,7.711411974028042,7.49607854510297,42.314561754989285
8.25163102921767,986.1341465006166,579.5714552589191,7.527726450579052,7.45006560590136,81.31929460969329
8.366953739081765,977.63585766031,578.6838018015808,7.272283652675289,7.374151561863684,107.78585892336497
8.48227644894586,966.9991272965328,576.9477600509265,7.122571426765779,7.267841658071521,119.58849076139137
8.597599158809956,954.7691074059103,574.2867170578263,7.040462273896601,7.1306411396064355,117.62363530964927
8.712921868674051,941.4909499850673,570.6336948510866,6.945785097236247,6.962055251550005,103.68854247729143
8.828244578538147,927.7098070306295,566.0658832775279,6.851689525843302,6.761589238983797,79.58061673845404
8.943567288402242,913.9708305392218,560.771452855759,6.805083614721353,6.528748346989388,47.09726256727325
9.058889998266338,900.8191725074694,554.941428912666,6.84296222526371,6.263037820648346,8.035884437885215
9.174212708130435,888.7999849319976,548.7668367751351,6.941765881483278,5.963962905042241,-35.80611317557461
9.28953541799453,878.458419809432,542.4387017700525,7.04064543583622,5.631302528358235,-82.63132579896873
9.404858127858626,870.3396291363977,536.1480492243043,7.122967596741433,5.268551140624841,-130.6423489581615
9.520180837722721,864.9887649095194,530.0859044647768,7.183998061809493,4.881880907375589,-178.0417781790169
9.635503547586817,862.950913987611,524.4432928183562,7.275640365740852,4.477523109694805,-223.03220898739875
