x,g_hat,sigma2_hat,a_hat,b_hat
-5.125803315017421,1482.8331001997342,474.0935728611224,13.90679442381978,461.20992116645283
-5.010480605153326,1401.604391105006,477.9620270257933,13.329971400664975,1018.8127527641079
-4.8951578952892305,1314.1725798545176,488.001574882866,12.631962311576194,1513.0311708641598
-4.779835185425134,1240.1957809907503,500.47432097135527,11.973461636363652,1880.1729956197164
-4.664512475561039,1190.0717830583576,512.5343585610281,11.486291000900035,2082.9987017504704
-4.549189765696943,1163.6616967464934,522.5871207729323,11.21117821502566,2114.1185391967842
-4.433867055832848,1152.601872651414,530.263906745368,11.04510570194153,1993.164810911536
-4.3185443459687525,1144.9253806658508,536.0753502324951,10.896800582325529,1759.3296538020406
-4.203221636104656,1130.1095190049205,540.8891896747,10.708325066787049,1461.5500421877732
-4.087898926240561,1102.767020908645,545.4157364437375,10.405923585918158,1148.66590042474
-3.9725762163764653,1063.8961156851776,549.8663549175062,9.972865428681885,861.406069810895
-3.85725350651237,1019.5943443581493,553.8808602726934,9.464683584200849,627.303902791995
-3.741930796648274,978.0479844007347,556.721276000151,8.980702978570347,458.85459661208375
-3.626608086784178,946.1244828966744,557.6351023097787,8.620623313101435,354.58375696634056
-3.5112853769200827,926.8793382820104,556.2340022412722,8.419643925406294,302.2879725416305
-3.3959626670559873,918.8034426466357,552.7340289371394,8.353113653351214,283.52964852637666
-3.280639957191892,916.905053209516,547.960983859502,8.361898155327491,278.46182228133273
-3.165317247327796,915.0315062134935,543.117658357993,8.366457657743409,270.1566980622743
-3.0499945374637005,908.434814327013,539.4031677408746,8.297548650953662,247.77068086312102
-2.9346718275996047,895.5894766868813,537.6322926733253,8.133331407543082,208.088203658616
-2.8193491177355092,878.6387610953851,538.0019907284487,7.898344546162718,155.25394109193516
-2.7040264078714134,862.4075539155598,540.0929117080365,7.655292561247084,98.82561620931553
-2.588703698007318,852.4515391165281,543.0989477261617,7.481061584503594,50.62191917105812
-2.4733809881432225,852.9228517858063,546.1853237455036,7.434306961751115,21.128581168609266
-2.3580582782791266,865.0302578157708,548.8231672710041,7.530296864906525,16.36819219647385
