local,original,weight
55,55,0.015694211162475824
70,71,0.07741350319019347
96,98,0.06040100030112683
113,115,0.027479055602706026
115,117,0.15815795282360767
116,118,0.016875032863516992
123,125,0.022099677975688792
136,138,0.014846069350831215
137,139,0.0144220774406989
149,151,0.030491150899862873
150,152,0.07534292431140344
207,209,0.13238543149007853
227,229,0.1261783626429036
229,231,0.029813094793524897
237,239,0.08125509714204782
